obtenido,deseado
81.68693712430493,93.06060606060605
93.41362642591515,90.09090909090908
78.37911956852726,89.1010101010101
82.18131625179203,89.1010101010101
99.24227140147612,96.03030303030302
71.78037534377856,83.16161616161615
82.29677985208743,87.12121212121211
74.23425694727314,79.20202020202022
79.33293093366294,92.07070707070707
104.75748146010747,97.02020202020199
88.665609456593,85.14141414141415
64.66462491265796,79.20202020202022
80.11715854105562,89.1010101010101
100.16694030399601,96.03030303030302
79.72443801191474,91.08080808080808
72.18586016437256,79.20202020202022
96.32395864163712,92.07070707070707
102.71627718714835,96.03030303030302
95.56043605815833,91.08080808080808
91.99400194775696,88.1111111111111
99.71883125602359,82.17171717171716
79.97091825785316,1.0
93.26730825681719,96.03030303030302
91.53177444875874,75.24242424242424
79.79143899321015,93.06060606060605
79.3739991164053,96.03030303030302
85.60502479331645,88.1111111111111
91.69169129661556,92.07070707070707
73.32739050994009,87.12121212121211
92.44279895516662,79.20202020202022
95.9579634095196,96.03030303030302
55.716574642460095,64.35353535353536
103.38505905758059,94.05050505050507
86.39127160698416,83.16161616161615
92.20139772200731,90.09090909090908
50.69567209514888,61.38383838383838
99.3204891065676,91.08080808080808
80.74199763270151,95.04040404040404
37.94320200281396,1.0
67.72026956118556,74.25252525252526
100.3979774289001,88.1111111111111
105.06657187748208,96.03030303030302
81.34535793604996,86.13131313131312
70.85644872958876,77.22222222222223
98.0798497345553,98.01010101010102
81.41200877453183,96.03030303030302
97.78591164847401,88.1111111111111
49.471209336432146,1.0
74.5657599132832,67.32323232323233
68.93091630597321,84.15151515151516
68.19167747157954,76.23232323232324
92.10053171093433,76.23232323232324
95.04808441006969,90.09090909090908
95.31042562958903,92.07070707070707
81.9678703043492,88.1111111111111
55.016123818943214,83.16161616161615
77.60678322455186,90.09090909090908
86.41595657016661,85.14141414141415
72.67961692759008,80.19191919191918
76.42535610256922,90.09090909090908
93.19421587172836,95.04040404040404
85.52440350079311,87.12121212121211
93.04452411457459,95.04040404040404
95.50253176521063,96.03030303030302
81.84021217672002,94.05050505050507
97.46724862277306,98.01010101010102
78.95451223799877,92.07070707070707
104.56165909871845,94.05050505050507
68.33114192146722,80.19191919191918
67.92760875132663,77.22222222222223
102.50755706533273,96.03030303030302
97.45987074523002,98.01010101010102
77.52844931119886,95.04040404040404
55.37163801170133,59.4040404040404
101.9563401444746,97.02020202020199
78.75147128316709,80.19191919191918
99.28702184050535,88.1111111111111
85.43134944305956,86.13131313131312
97.84689253048855,98.01010101010102
77.47822393737623,88.1111111111111
82.68147010849042,94.05050505050507
38.37218138260231,1.0
77.38735971321657,93.06060606060605
91.08486322270153,87.12121212121211
103.5765443085758,93.06060606060605
102.15916915708857,98.01010101010102
77.39475980847858,90.09090909090908
99.69382644103543,94.05050505050507
74.58231356486041,85.14141414141415
71.08532798300277,83.16161616161615
83.34281037471872,84.15151515151516
98.24435454550103,90.09090909090908
61.345936764955546,65.34343434343434
81.47372167384786,91.08080808080808
75.7227329664551,89.1010101010101
79.13503442214463,91.08080808080808
72.46388068201685,1.0
79.72854644384333,96.03030303030302
86.89603981514807,73.26262626262626
92.27213267031382,88.1111111111111
90.65293358539353,89.1010101010101
97.83146171828693,90.09090909090908
63.05654216955475,60.3939393939394
78.8913640871474,96.03030303030302
50.14353079918291,1.0
75.8105347002407,86.13131313131312
75.47504535326514,88.1111111111111
58.127553304840525,71.28282828282828
72.15164803445552,85.14141414141415
98.52464458957446,86.13131313131312
78.93995710579496,94.05050505050507
